root;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;mpm;event;worker;processCount;compressionLevel;threadCount;performance;energy
1;0;0;1;1;0;0;0;0;0;0;1;0;1;64;1;128;2.764000;102.000000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;8;1;256;2.680800;112.200000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;16;1;256;2.758000;102.800000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;32;1;256;2.839200;95.000000
1;0;0;1;1;0;0;0;0;0;0;1;0;1;64;1;256;2.964200;99.400000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;64;1;16;2.818800;73.000000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;32;1;32;2.961800;105.800000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;64;1;32;2.752600;98.000000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;16;1;64;2.627000;118.200000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;32;1;64;2.788600;124.200000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;64;1;64;2.764400;107.000000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;8;1;128;2.968600;87.200000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;16;1;128;2.768400;100.800000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;32;1;128;2.847200;102.000000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;64;1;128;2.839200;102.600000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;8;1;256;2.806800;104.800000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;16;1;256;2.686600;105.800000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;32;1;256;2.821400;90.600000
1;0;0;1;1;0;0;0;0;0;0;1;1;0;64;1;256;2.698200;105.000000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;64;1;16;20.659800;692.200000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;32;1;32;14.130400;546.800000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;64;1;32;14.358200;539.200000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;16;1;64;7.316400;335.200000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;32;1;64;7.577800;352.600000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;64;1;64;7.248200;370.000000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;8;1;128;7.717800;328.000000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;16;1;128;7.674200;339.600000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;32;1;128;7.751000;392.000000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;64;1;128;7.715400;390.600000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;8;1;256;8.709800;442.400000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;16;1;256;8.546600;379.000000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;32;1;256;8.655400;407.400000
1;0;0;1;1;0;1;0;0;0;0;1;0;1;64;1;256;8.810200;403.000000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;64;1;16;14.326200;536.200000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;32;1;32;14.326000;541.000000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;64;1;32;14.316000;544.800000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;16;1;64;7.639600;355.600000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;32;1;64;7.616000;365.600000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;64;1;64;7.507400;357.800000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;8;1;128;8.089200;383.400000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;16;1;128;8.062000;378.600000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;32;1;128;8.013600;394.400000
1;0;0;1;1;0;1;0;0;0;0;1;1;0;64;1;128;8.910400;435.800000
